Dataset,d
Klein,0.220831799779168
Klein,0.368052999631947
Klein,0.515274199484726
Klein,0.662495399337505
Klein,0.809716599190283
Klein,0.956937799043062
Klein,1.10415899889584
Klein,1.84026499815973
Klein,3.68052999631947
Klein,0.220831799779168
Klein,0.368052999631947
Klein,0.515274199484726
Klein,0.662495399337505
Klein,0.809716599190283
Klein,0.956937799043062
Klein,1.10415899889584
Klein,1.84026499815973
Klein,3.68052999631947
Klein,5.52079499447921
Klein,7.36105999263894
Klein,9.20132499079867
Klein,11.0415899889584
Klein,12.8818549871181
Klein,14.7221199852779
Klein,16.5623849834376
Klein,18.4026499815973
Klein,20.2429149797571
Klein,0.220831799779168
Klein,0.368052999631947
Klein,0.515274199484726
Klein,0.662495399337505
Klein,0.809716599190283
Klein,0.956937799043062
Klein,1.10415899889584
Klein,1.84026499815973
Klein,3.68052999631947
Klein,5.52079499447921
Klein,7.36105999263894
Klein,9.20132499079867
Klein,11.0415899889584
Klein,12.8818549871181
Klein,0.0736105999263894
Klein,0.220831799779168
Klein,0.368052999631947
Klein,0.515274199484726
Klein,0.662495399337505
Klein,0.809716599190283
Klein,0.956937799043062
Klein,1.10415899889584
Klein,1.84026499815973
Klein,3.68052999631947
Klein,5.52079499447921
Klein,7.36105999263894
Klein,9.20132499079867
Klein,11.0415899889584
Klein,12.8818549871181
Klein,14.7221199852779
Klein,16.5623849834376
Klein,18.4026499815973
Klein,20.2429149797571
Klein,22.0831799779168
Klein,0.368052999631947
Klein,0.515274199484726
Klein,0.662495399337505
Klein,0.809716599190283
Klein,0.956937799043062
Klein,1.10415899889584
Klein,1.84026499815973
Klein,3.68052999631947
Klein,5.52079499447921
Klein,7.36105999263894
Klein,9.20132499079867
Klein,11.0415899889584
Patel,1.92307692307692
Patel,3.2967032967033
Patel,3.57142857142857
Patel,2.74725274725275
Patel,3.2967032967033
Patel,3.57142857142857
Patel,3.84615384615385
Patel,4.12087912087912
Patel,4.3956043956044
Patel,4.67032967032967
Patel,4.94505494505495
Patel,5.21978021978022
Patel,5.49450549450549
Patel,5.76923076923077
Patel,6.04395604395604
Patel,6.31868131868132
Patel,6.59340659340659
Patel,6.86813186813187
Patel,7.14285714285714
Patel,7.41758241758242
Patel,7.69230769230769
Patel,7.96703296703297
Patel,8.24175824175824
Patel,13.7362637362637
Patel,3.57142857142857
Patel,4.67032967032967
Patel,4.94505494505495
Patel,5.21978021978022
Patel,5.49450549450549
Patel,5.76923076923077
Patel,6.04395604395604
Patel,6.31868131868132
Patel,6.59340659340659
Patel,6.86813186813187
Patel,7.14285714285714
Patel,7.41758241758242
Patel,7.69230769230769
Patel,7.96703296703297
Patel,8.24175824175824
Patel,13.7362637362637
Patel,3.2967032967033
Patel,3.57142857142857
Patel,3.84615384615385
Patel,4.12087912087912
Patel,4.3956043956044
Patel,4.67032967032967
Patel,4.94505494505495
Patel,5.21978021978022
Patel,5.49450549450549
Patel,5.76923076923077
Patel,6.04395604395604
Patel,6.31868131868132
Patel,6.59340659340659
Patel,6.86813186813187
Patel,7.14285714285714
Patel,7.41758241758242
Patel,7.69230769230769
Patel,7.96703296703297
Patel,8.24175824175824
Patel,13.7362637362637
Patel,3.57142857142857
Patel,3.84615384615385
Patel,4.12087912087912
Patel,4.3956043956044
Patel,4.67032967032967
Patel,4.94505494505495
Patel,5.21978021978022
Patel,5.49450549450549
Patel,5.76923076923077
Patel,6.04395604395604
Patel,6.31868131868132
Patel,6.59340659340659
Patel,6.86813186813187
Patel,7.14285714285714
Patel,7.41758241758242
Patel,7.69230769230769
Patel,7.96703296703297
Patel,8.24175824175824
Patel,13.7362637362637
Ting,2.01342281879195
Ting,4.02684563758389
Ting,5.36912751677852
Ting,6.04026845637584
Ting,6.71140939597315
Ting,7.38255033557047
Ting,4.02684563758389
Ting,5.36912751677852
Ting,6.04026845637584
Ting,6.71140939597315
Ting,7.38255033557047
Ting,8.05369127516778
Ting,8.7248322147651
Ting,9.39597315436242
Ting,10.0671140939597
Ting,4.02684563758389
Ting,4.69798657718121
Ting,5.36912751677852
Ting,6.04026845637584
Ting,6.71140939597315
Ting,2.68456375838926
Ting,3.35570469798658
Ting,4.69798657718121
Ting,5.36912751677852
Ting,6.71140939597315
Ting,3.35570469798658
Treutlein,10
Treutlein,11.25
Treutlein,12.5
Treutlein,8.75
Treutlein,10
Treutlein,12.5
Treutlein,15
Treutlein,16.25
Treutlein,3.75
Treutlein,3.75
Treutlein,12.5
Treutlein,13.75
Treutlein,3.75
Treutlein,10
Treutlein,11.25
Treutlein,12.5
Usoskin,3.05466237942122
Usoskin,3.21543408360129
Usoskin,3.37620578778135
Usoskin,3.53697749196141
Usoskin,3.69774919614148
Usoskin,3.85852090032154
Usoskin,4.01929260450161
Usoskin,4.18006430868167
Usoskin,4.34083601286174
Usoskin,4.5016077170418
Usoskin,4.66237942122186
Usoskin,4.82315112540193
Usoskin,4.98392282958199
Usoskin,5.94855305466238
Usoskin,2.89389067524116
Usoskin,3.05466237942122
Usoskin,3.21543408360129
Usoskin,3.37620578778135
Usoskin,3.53697749196141
Usoskin,3.69774919614148
Usoskin,3.85852090032154
Usoskin,4.01929260450161
Usoskin,4.18006430868167
Usoskin,4.34083601286174
Usoskin,4.5016077170418
Usoskin,4.66237942122186
Usoskin,4.82315112540193
Usoskin,4.98392282958199
Usoskin,8.84244372990354
Usoskin,9.80707395498392
Usoskin,10.7717041800643
Usoskin,11.7363344051447
Usoskin,12.7009646302251
Usoskin,13.6655948553055
Usoskin,4.01929260450161
Usoskin,4.18006430868167
Usoskin,4.34083601286174
Usoskin,4.5016077170418
Usoskin,4.66237942122186
Usoskin,4.82315112540193
Usoskin,4.98392282958199
Usoskin,5.94855305466238
Usoskin,7.87781350482315
Usoskin,4.01929260450161
Usoskin,4.18006430868167
Usoskin,4.34083601286174
Usoskin,4.5016077170418
Usoskin,4.66237942122186
Usoskin,4.82315112540193
Usoskin,4.98392282958199
Usoskin,5.94855305466238
Usoskin,6.91318327974277
Usoskin,7.87781350482315
Usoskin,8.84244372990354
Usoskin,9.80707395498392
Usoskin,10.7717041800643
Usoskin,11.7363344051447
Usoskin,12.7009646302251
Usoskin,13.6655948553055
Usoskin,14.6302250803859
Usoskin,15.5948553054662
Usoskin,4.18006430868167
Usoskin,4.34083601286174
Usoskin,4.5016077170418
Usoskin,4.66237942122186
Usoskin,4.82315112540193
Usoskin,4.98392282958199
Usoskin,5.94855305466238
Usoskin,3.53697749196141
Usoskin,3.69774919614148
Usoskin,3.85852090032154
Usoskin,4.01929260450161
Usoskin,4.18006430868167
Usoskin,4.34083601286174
Usoskin,4.5016077170418
Usoskin,4.66237942122186
Usoskin,4.82315112540193
Usoskin,4.98392282958199
Usoskin,5.94855305466238
Usoskin,6.91318327974277
Usoskin,7.87781350482315
Usoskin,8.84244372990354
Usoskin,9.80707395498392
Usoskin,10.7717041800643
Usoskin,11.7363344051447
Usoskin,12.7009646302251
Zeisel,1.66389351081531
Zeisel,3.32778702163062
Zeisel,0.732113144758735
Zeisel,0.86522462562396
Zeisel,0.998336106489185
Zeisel,1.66389351081531
Zeisel,0.332778702163062
Zeisel,0.465890183028286
Zeisel,0.86522462562396
Zeisel,0.998336106489185
Zeisel,1.66389351081531
Zeisel,0.86522462562396
Zeisel,0.998336106489185
Zeisel,4.99168053244592
Zeisel,6.65557404326123
Zeisel,8.31946755407654
Zeisel,13.3111480865225
Zeisel,14.9750415973378
Zeisel,16.6389351081531
Zeisel,18.3028286189684
Zeisel,19.9667221297837
Zeisel,21.630615640599
Zeisel,23.2945091514143
Zeisel,0.732113144758735
Zeisel,0.86522462562396
Zeisel,0.998336106489185
Zeisel,1.66389351081531
Zeisel,3.32778702163062
Zeisel,14.9750415973378
Zeisel,16.6389351081531
Zeisel,18.3028286189684
Zeisel,19.9667221297837
